,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,c,https://i.imgur.com/fWQCPcG.png,A,B,C,D,SSC,Bi,19.1
2,a,https://i.imgur.com/VTcpcxc.png,A,B,C,D,SSC,Bi,19.1
4,b,https://i.imgur.com/lbdVdl5.png,A,B,C,D,SSC,Bi,19.1
5,a,https://i.imgur.com/bIrrQpL.png,A,B,C,D,SSC,Bi,19.1
7,a,https://i.imgur.com/ve7Cn2I.png,A,B,C,D,SSC,Bi,19.1
8,c,https://i.imgur.com/00ENsRp.png,A,B,C,D,SSC,Bi,19.1
9,c,https://i.imgur.com/emTeeE0.png,A,B,C,D,SSC,Bi,19.1
10,c,https://i.imgur.com/JhoJD3Q.png,A,B,C,D,SSC,Bi,19.1
12,a,https://i.imgur.com/8shAPso.png,A,B,C,D,SSC,Bi,19.1
13,b,https://i.imgur.com/kOUND2Y.png,A,B,C,D,SSC,Bi,19.1
14,c,https://i.imgur.com/XvZTY7O.png,A,B,C,D,SSC,Bi,19.1
15,c,https://i.imgur.com/bJeSz45.png,A,B,C,D,SSC,Bi,19.1
17,c,https://i.imgur.com/UuzjYk7.png,A,B,C,D,SSC,Bi,19.1
18,c,https://i.imgur.com/yQBlIFL.png,A,B,C,D,SSC,Bi,19.1
19,d,https://i.imgur.com/Ol9jBhS.png,A,B,C,D,SSC,Bi,19.1
21,a,https://i.imgur.com/GMCXZ6I.png,A,B,C,D,SSC,Bi,19.1
22,a,https://i.imgur.com/btX8P0M.png,A,B,C,D,SSC,Bi,19.1
23,c,https://i.imgur.com/McgbYGN.png,A,B,C,D,SSC,Bi,19.1
24,b,https://i.imgur.com/nhubROD.png,A,B,C,D,SSC,Bi,19.1
26,d,https://i.imgur.com/5CY4paq.png,A,B,C,D,SSC,Bi,19.1
27,d,https://i.imgur.com/P6lpM4Q.png,A,B,C,D,SSC,Bi,19.1
28,c,https://i.imgur.com/weWFQmu.png,A,B,C,D,SSC,Bi,19.1
29,b,https://i.imgur.com/9aum0k8.png,A,B,C,D,SSC,Bi,19.1
30,c,https://i.imgur.com/2ROdpa4.png,A,B,C,D,SSC,Bi,19.1
31,c,https://i.imgur.com/PnRb30V.png,A,B,C,D,SSC,Bi,19.1
32,c,https://i.imgur.com/ECUyIQE.png,A,B,C,D,SSC,Bi,19.1
34,d,https://i.imgur.com/cLACrgI.png,A,B,C,D,SSC,Bi,19.1
35,c,https://i.imgur.com/eDG3qSR.png,A,B,C,D,SSC,Bi,19.1
36,b,https://i.imgur.com/HYVTwHK.png,A,B,C,D,SSC,Bi,19.1
38,d,https://i.imgur.com/0yTudXD.png,A,B,C,D,SSC,Bi,19.1
39,d,https://i.imgur.com/DzzmWlR.png,A,B,C,D,SSC,Bi,19.1
40,c,https://i.imgur.com/NGWvgdv.png,A,B,C,D,SSC,Bi,19.1
42,c,https://i.imgur.com/x4dWaCc.png,A,B,C,D,SSC,Bi,19.1
