,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,b,https://i.imgur.com/33R2X7Aundefined.png,A,B,C,D,SSC,Bi,21.1
3,d,https://i.imgur.com/aIPDfuTundefined.png,A,B,C,D,SSC,Bi,21.1
4,b,https://i.imgur.com/iOm6qplundefined.png,A,B,C,D,SSC,Bi,21.1
6,d,https://i.imgur.com/tD25iBXundefined.png,A,B,C,D,SSC,Bi,21.1
7,b,https://i.imgur.com/M9VKxZPundefined.png,A,B,C,D,SSC,Bi,21.1
8,d,https://i.imgur.com/Jw4GnXPundefined.png,A,B,C,D,SSC,Bi,21.1
9,d,https://i.imgur.com/ba1sZRCundefined.png,A,B,C,D,SSC,Bi,21.1
11,a,https://i.imgur.com/7XlTKDYundefined.png,A,B,C,D,SSC,Bi,21.1
12,c,https://i.imgur.com/EHQD62vundefined.png,A,B,C,D,SSC,Bi,21.1
13,c,https://i.imgur.com/vBlYdOGundefined.png,A,B,C,D,SSC,Bi,21.1
14,a,https://i.imgur.com/XMjP1oEundefined.png,A,B,C,D,SSC,Bi,21.1
15,b,https://i.imgur.com/PAwRMw4undefined.png,A,B,C,D,SSC,Bi,21.1
17,d,https://i.imgur.com/JTkakO6undefined.png,A,B,C,D,SSC,Bi,21.1
18,c,https://i.imgur.com/F7Cvvvsundefined.png,A,B,C,D,SSC,Bi,21.1
19,b,https://i.imgur.com/paaSBzFundefined.png,A,B,C,D,SSC,Bi,21.1
20,a,https://i.imgur.com/DzrI8cLundefined.png,A,B,C,D,SSC,Bi,21.1
21,a,https://i.imgur.com/lgwlgp3undefined.png,A,B,C,D,SSC,Bi,21.1
23,b,https://i.imgur.com/beVhcDNundefined.png,A,B,C,D,SSC,Bi,21.1
24,a,https://i.imgur.com/MiXkRzzundefined.png,A,B,C,D,SSC,Bi,21.1
25,c,https://i.imgur.com/WEeipJ2undefined.png,A,B,C,D,SSC,Bi,21.1
26,d,https://i.imgur.com/LTqXXXcundefined.png,A,B,C,D,SSC,Bi,21.1
28,c,https://i.imgur.com/5vol6Ybundefined.png,A,B,C,D,SSC,Bi,21.1
29,b,https://i.imgur.com/l8CtoALundefined.png,A,B,C,D,SSC,Bi,21.1
30,a,https://i.imgur.com/dJatImPundefined.png,A,B,C,D,SSC,Bi,21.1
31,b,https://i.imgur.com/FyjhFZ5undefined.png,A,B,C,D,SSC,Bi,21.1
33,a,https://i.imgur.com/VBj4Nbzundefined.png,A,B,C,D,SSC,Bi,21.1
34,c,https://i.imgur.com/nf6h7vtundefined.png,A,B,C,D,SSC,Bi,21.1
35,d,https://i.imgur.com/xfbBz0Aundefined.png,A,B,C,D,SSC,Bi,21.1
36,d,https://i.imgur.com/bCKKk18undefined.png,A,B,C,D,SSC,Bi,21.1
38,c,https://i.imgur.com/K1Y5oS1undefined.png,A,B,C,D,SSC,Bi,21.1
39,a,https://i.imgur.com/tgOCjSjundefined.png,A,B,C,D,SSC,Bi,21.1
40,a,https://i.imgur.com/dgstmg1undefined.png,A,B,C,D,SSC,Bi,21.1
41,d,https://i.imgur.com/OVO2XClundefined.png,A,B,C,D,SSC,Bi,21.1
43,d,https://i.imgur.com/Yted1PWundefined.png,A,B,C,D,SSC,Bi,21.1
44,a,https://i.imgur.com/OCq77myundefined.png,A,B,C,D,SSC,Bi,21.1
45,a,https://i.imgur.com/up6wDrRundefined.png,A,B,C,D,SSC,Bi,21.1
46,d,https://i.imgur.com/HcsBLDjundefined.png,A,B,C,D,SSC,Bi,21.1
48,a,https://i.imgur.com/KxiBLDsundefined.png,A,B,C,D,SSC,Bi,21.1
49,c,https://i.imgur.com/QdV1IAHundefined.png,A,B,C,D,SSC,Bi,21.1
50,b,https://i.imgur.com/DIjGoCIundefined.png,A,B,C,D,SSC,Bi,21.1
51,c,https://i.imgur.com/kLEwZLBundefined.png,A,B,C,D,SSC,Bi,21.1
53,c,https://i.imgur.com/jcDjPQPundefined.png,A,B,C,D,SSC,Bi,21.1
54,d,https://i.imgur.com/Fgbqa6Wundefined.png,A,B,C,D,SSC,Bi,21.1
55,b,https://i.imgur.com/qWKM67mundefined.png,A,B,C,D,SSC,Bi,21.1
56,d,https://i.imgur.com/zvGHnKvundefined.png,A,B,C,D,SSC,Bi,21.1
