,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
64,d,https://i.imgur.com/yuYyvmK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
65,b,https://i.imgur.com/gClcpY7.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
66,c,https://i.imgur.com/TnwqlYA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
67,c,https://i.imgur.com/Le6dqCl.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
68,c,https://i.imgur.com/JOlPEUB.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
69,c,https://i.imgur.com/CJIsQBW.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
70,d,https://i.imgur.com/5GmzROO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
71,a,https://i.imgur.com/ItR7iUH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
72,c,https://i.imgur.com/kqQtXPW.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
73,c,https://i.imgur.com/DMgrHRD.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
74,c,https://i.imgur.com/XmyCegQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
75,c,https://i.imgur.com/jsc0CTM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
76,a,https://i.imgur.com/JebjYpU.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
77,c,https://i.imgur.com/7IiAiLq.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
78,c,https://i.imgur.com/I7NvwSF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
79,d,https://i.imgur.com/jtSJGIJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
80,c,https://i.imgur.com/JUo5Ips.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
81,c,https://i.imgur.com/sDKQOs9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
82,b,https://i.imgur.com/dPU5s8V.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
83,b,https://i.imgur.com/DM5iQ9j.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
84,b,https://i.imgur.com/AJD0Aor.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
85,d,https://i.imgur.com/hyeJVSo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
86,b,https://i.imgur.com/s4yj4x1.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
87,b,https://i.imgur.com/9VudHeN.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
88,a,https://i.imgur.com/uPEA52i.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
89,a,https://i.imgur.com/IRb32hQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
90,b,https://i.imgur.com/ondIV3y.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
91,d,https://i.imgur.com/TLGpMZL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
92,d,https://i.imgur.com/zOJPGvr.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
93,d,https://i.imgur.com/vlINzsi.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
94,a,https://i.imgur.com/L1HtRCv.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
95,c,https://i.imgur.com/GCQqhIm.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
96,b,https://i.imgur.com/3ESioUt.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
97,a,https://i.imgur.com/RC1fg30.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
98,b,https://i.imgur.com/aksfRQ3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
99,d,https://i.imgur.com/ya0c8rd.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
100,c,https://i.imgur.com/DDJpGB5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
101,c,https://i.imgur.com/mdHs5vE.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
102,d,https://i.imgur.com/yQSgbyW.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
103,b,https://i.imgur.com/66RRir5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
104,d,https://i.imgur.com/XtvPjAb.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
105,d,https://i.imgur.com/l8AJsvx.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
106,a,https://i.imgur.com/8Y3IQkJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
107,c,https://i.imgur.com/lbYqbKa.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
108,d,https://i.imgur.com/BqXtrTU.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
109,d,https://i.imgur.com/l11iNSW.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
110,a,https://i.imgur.com/l4cPxO6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
