,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,d,https://i.imgur.com/pTDms62.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,c,https://i.imgur.com/18G99Xj.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,b,https://i.imgur.com/u1Iuy9d.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/24tiIbe.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://i.imgur.com/M4eUjC3.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,d,https://i.imgur.com/ryk800M.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,a,https://i.imgur.com/pVlCbYW.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,d,https://i.imgur.com/MLQnj7B.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,b,https://i.imgur.com/LXB4mfQ.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,c,https://i.imgur.com/aOD2ye7.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,c,https://i.imgur.com/Yq1MEdo.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,c,https://i.imgur.com/JyJWmmZ.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/DQAGzn5.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/cPJR2vJ.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,d,https://i.imgur.com/02FHCS7.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,d,https://i.imgur.com/4zsc8xp.png,,19.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
