,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
1,c,https://i.imgur.com/6qrXtx1.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,b,https://i.imgur.com/Xv5NxI3.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
3,d,https://i.imgur.com/i8Rog3W.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,b,https://i.imgur.com/tpY7T9Z.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
5,a,https://i.imgur.com/potWd8B.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
7,c,https://i.imgur.com/erVGMFv.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,a,https://i.imgur.com/t92Yjol.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,d,https://i.imgur.com/N0d9rYE.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,a,https://i.imgur.com/FLdQ5NO.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
14,c,https://i.imgur.com/9msFkXG.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,b,https://i.imgur.com/5dSJPwg.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
16,b,https://i.imgur.com/WlyQfEz.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
17,a,https://i.imgur.com/Gzm4NAC.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,b,https://i.imgur.com/U0TxkqQ.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,c,https://i.imgur.com/tQarrYl.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
20,b,https://i.imgur.com/YV8iXzs.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,d,https://i.imgur.com/7Q7WWuD.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
22,d,https://i.imgur.com/JDH6ias.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,b,https://i.imgur.com/3LBUpX2.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
24,b,https://i.imgur.com/EynWfXv.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
25,a,https://i.imgur.com/YfXboEM.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
26,b,https://i.imgur.com/iWJIF1r.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,c,https://i.imgur.com/WUj0fyR.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,b,https://i.imgur.com/cHdQfLi.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,b,https://i.imgur.com/xU8FOho.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
30,a,https://i.imgur.com/QQzseu5.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
1,a,https://i.imgur.com/GHFd51p.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,a,https://i.imgur.com/LcPN2j4.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
3,b,https://i.imgur.com/FW3dwuK.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,a,https://i.imgur.com/DUvpJdh.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
5,a,https://i.imgur.com/a0UtI5f.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
6,b,https://i.imgur.com/ArHsH7c.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
7,b,https://i.imgur.com/vuJkLVj.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,c,https://i.imgur.com/1P1BiHj.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,c,https://i.imgur.com/kKoJfv5.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,a,https://i.imgur.com/WEUiiCm.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
11,d,https://i.imgur.com/D4vWOKE.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
12,b,https://i.imgur.com/MVMFSNt.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
13,b,https://i.imgur.com/UfP0vwf.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,d,https://i.imgur.com/JGwo5Y9.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
16,c,https://i.imgur.com/zJeqhIh.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
17,b,https://i.imgur.com/ANeEVAm.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,d,https://i.imgur.com/dyEHcXN.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,a,https://i.imgur.com/jzQxQsP.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,d,https://i.imgur.com/8bKWdCZ.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
22,b,https://i.imgur.com/sWTGlGq.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,c,https://i.imgur.com/T6t4Rxr.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
24,c,https://i.imgur.com/vY8ueH7.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
25,a,https://i.imgur.com/lKZkum8.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
26,c,https://i.imgur.com/qrjebfn.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,d,https://i.imgur.com/1c7lIFP.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,b,https://i.imgur.com/mDURKH1.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,a,https://i.imgur.com/4GcVLZl.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
30,c,https://i.imgur.com/CENUzIT.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
32,b,https://i.imgur.com/sZ0OhIn.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
33,a,https://i.imgur.com/L6aFSEl.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
34,b,https://i.imgur.com/alNvvhC.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
36,d,https://i.imgur.com/vYtardk.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
37,b,https://i.imgur.com/n08l8SJ.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
38,c,https://i.imgur.com/PG0yyjA.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
39,c,https://i.imgur.com/iHM5lJg.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,c
40,b ,https://i.imgur.com/G96E7HO.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
41,b,https://i.imgur.com/6bNPU38.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
