,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
102,d,https://i.imgur.com/vuLCAcg.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
103,d,https://i.imgur.com/9Apynal.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
104,d,https://i.imgur.com/UMaeI80.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
105,d,https://i.imgur.com/Uo0ADFH.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
106,d,https://i.imgur.com/pzjmTuq.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
107,c,https://i.imgur.com/ytvmUa7.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
108,a,https://i.imgur.com/R7NQ7e2.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
109,d,https://i.imgur.com/Nv5KITi.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
110,b,https://i.imgur.com/0cVIvGB.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
111,d,https://i.imgur.com/3NOrNn3.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
112,a,https://i.imgur.com/7OWNVLz.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
113,c,https://i.imgur.com/DNjta4k.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
114,b,https://i.imgur.com/fasp4SV.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
115,c,https://i.imgur.com/MSN1YRS.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
116,d,https://i.imgur.com/EW2VgjS.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
117,d,https://i.imgur.com/mz2GPl2.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
118,b,https://i.imgur.com/C7UTWjr.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
119,d,https://i.imgur.com/TAJrxrh.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
120,d,https://i.imgur.com/fqYaxJ9.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
121,d,https://i.imgur.com/VCuPyb0.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
122,d,https://i.imgur.com/55Y7QoY.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
123,d,https://i.imgur.com/fX7PyFc.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
124,d,https://i.imgur.com/jlxme2q.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
125,d,https://i.imgur.com/5rWUBvc.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
126,c,https://i.imgur.com/q9R7dgu.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
127,a,https://i.imgur.com/Wd7iRP9.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
128,d,https://i.imgur.com/lPKjr4p.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
129,b,https://i.imgur.com/2Qx9gJg.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
130,b,https://i.imgur.com/a9wbvNU.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
131,d,https://i.imgur.com/IFuRsuG.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
132,d,https://i.imgur.com/5EMHvdh.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
133,a,https://i.imgur.com/FiMoitg.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
134,a,https://i.imgur.com/mjYMCVW.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
135,b,https://i.imgur.com/OCTlwqx.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
136,d,https://i.imgur.com/0XqJn9d.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
137,c,https://i.imgur.com/D3KH9oH.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
138,a,https://i.imgur.com/06VF38Y.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
139,c,https://i.imgur.com/lNbAhrR.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
140,d,https://i.imgur.com/oBeG24Q.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
141,b,https://i.imgur.com/roBrlR3.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
142,c,https://i.imgur.com/QBAwg82.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
143,b,https://i.imgur.com/D8Q8k2p.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
144,c,https://i.imgur.com/b1pxBkh.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
145,b,https://i.imgur.com/Um5J1gR.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
146,a,https://i.imgur.com/6uNjpFm.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
147,c,https://i.imgur.com/Vsky1cs.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
148,a,https://i.imgur.com/yFVLqZk.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
149,a,https://i.imgur.com/T0oNoXk.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
150,d,https://i.imgur.com/2oRFIbI.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
151,b,https://i.imgur.com/5aGzyKX.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
152,a,https://i.imgur.com/oBwjyIu.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
153,a,https://i.imgur.com/5WqhX9q.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
154,b,https://i.imgur.com/jHNK9Ge.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
155,a,https://i.imgur.com/dIOStmt.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
156,a,https://i.imgur.com/i1bMEuk.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
157,c,https://i.imgur.com/5u799Sv.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
158,c,https://i.imgur.com/BOW9FdV.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
159,c,https://i.imgur.com/HdvAYrG.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
160,b,https://i.imgur.com/KalH9bc.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
161,b,https://i.imgur.com/HHGC69N.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
162,c,https://i.imgur.com/NcSiXfg.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
163,d,https://i.imgur.com/zMKxhd8.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
164,c,https://i.imgur.com/CsJtsWi.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
165,b,https://i.imgur.com/qr8bEGh.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
166,d,https://i.imgur.com/rjJ37gY.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
167,a,https://i.imgur.com/t1at83k.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
168,b,https://i.imgur.com/KuWW2me.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
169,a,https://i.imgur.com/b2Xwnab.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
170,c,https://i.imgur.com/waWFAzK.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
171,c,https://i.imgur.com/7fHhz7M.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
172,c,https://i.imgur.com/600OuW0.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
173,b,https://i.imgur.com/zaCA7dl.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
174,d,https://i.imgur.com/VSBP9i4.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
175,b,https://i.imgur.com/9HHjNLr.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
176,a,https://i.imgur.com/wkdvysr.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
179,c,https://i.imgur.com/DP6FnTK.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
183,d,https://i.imgur.com/5YfBQ6y.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
184,b,https://i.imgur.com/8WcvLev.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
185,c,https://i.imgur.com/omLboWP.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
186,d,https://i.imgur.com/naGHHGq.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
187,d,https://i.imgur.com/mZX1P1f.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
188,d,https://i.imgur.com/bXXqOb5.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
189,b,https://i.imgur.com/smEdWeV.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
190,a,https://i.imgur.com/Y0OFZ1U.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
191,c,https://i.imgur.com/S1tujJ7.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
192,c,https://i.imgur.com/tq88d5F.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
193,a,https://i.imgur.com/KxAZmKR.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
194,d,https://i.imgur.com/1HLqv2X.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
195,d,https://i.imgur.com/tZbEoO5.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
196,a,https://i.imgur.com/U3kXf8Z.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
