,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,d,https://i.imgur.com/f57rza4.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,d,https://i.imgur.com/BoQdtvd.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,b,https://i.imgur.com/9vkEM5M.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://i.imgur.com/PoNhghd.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,d,https://i.imgur.com/7UycyLu.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,b,https://i.imgur.com/32Gs0bO.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,c,https://i.imgur.com/mQa9txH.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://i.imgur.com/9yRtzhh.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,b,https://i.imgur.com/KOuLIye.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,d,https://i.imgur.com/7MVOcU3.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,b,https://i.imgur.com/JzJED0u.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,b,https://i.imgur.com/DBOvrfq.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,a,https://i.imgur.com/dMtEXBN.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,d,https://i.imgur.com/tVzage0.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,d,https://i.imgur.com/yxQAF0d.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,c,https://i.imgur.com/0qFIAek.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,d,https://i.imgur.com/OjQnYZE.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,a,https://i.imgur.com/hORNGap.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,b,https://i.imgur.com/75h0EQw.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,d,https://i.imgur.com/uGetmCz.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,c,https://i.imgur.com/EnRYDPn.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,c,https://i.imgur.com/npVI0SE.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,a,https://i.imgur.com/E4kRdDV.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,c,https://i.imgur.com/NkiYQqX.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,d,https://i.imgur.com/u5RWcjV.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,b,https://i.imgur.com/8DaYWfI.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,d,https://i.imgur.com/mLvfWgL.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,c,https://i.imgur.com/5vE92yF.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,c,https://i.imgur.com/YD2YL8i.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,d,https://i.imgur.com/2X2tTEN.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,d,https://i.imgur.com/MXENaqX.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,b,https://i.imgur.com/oPdNd6G.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,d,https://i.imgur.com/Ea3msdx.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,d,https://i.imgur.com/gesBGLY.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,c,https://i.imgur.com/GoGf5s7.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,c,https://i.imgur.com/U7b405N.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,d,https://i.imgur.com/nooXaGb.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,c,https://i.imgur.com/Ur0AEEF.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,b,https://i.imgur.com/v0ACOzI.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,c,https://i.imgur.com/hkICcSa.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
