,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
1,b,https://i.imgur.com/DxXvNQF.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,c,https://i.imgur.com/0CuBfLS.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
3,c,https://i.imgur.com/fJbl3Mq.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,d,https://i.imgur.com/5HpNo0K.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
5,b,https://i.imgur.com/O40miUL.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
6,c,https://i.imgur.com/bbRrhYm.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,c,https://i.imgur.com/qY0z8hY.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,b,https://i.imgur.com/3UQ3SBx.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,b,https://i.imgur.com/NnBsYf7.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
11,b,https://i.imgur.com/hziMM1q.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
12,a,https://i.imgur.com/M15gofN.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
13,d,https://i.imgur.com/KIztyD9.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
14,c,https://i.imgur.com/DNA6Ne3.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,d,https://i.imgur.com/0cYvMTj.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
16,c,https://i.imgur.com/3r4yNwb.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
17,b,https://i.imgur.com/lwJLyxP.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,b,https://i.imgur.com/yTPu5Uu.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,b,https://i.imgur.com/L8AskpD.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
20,c,https://i.imgur.com/QyHNkTH.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,d,https://i.imgur.com/sbgyW1d.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
22,b,https://i.imgur.com/515zM7M.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,c,https://i.imgur.com/xAKHU2L.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
24,c,https://i.imgur.com/R7yeuBm.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
25,b,https://i.imgur.com/9WRbuUc.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,c,https://i.imgur.com/p18F93A.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,c,https://i.imgur.com/hLVROKH.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,b,https://i.imgur.com/MmtmpX7.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
31,b,https://i.imgur.com/ihQ5892.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
32,c,https://i.imgur.com/qiH8pG2.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
33,d,https://i.imgur.com/lm5cvCK.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
1,b,https://i.imgur.com/GvpvSVl.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,c,https://i.imgur.com/EyIyn74.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,b,https://i.imgur.com/nDZd2Ak.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
6,b,https://i.imgur.com/vnTiE9B.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,b,https://i.imgur.com/dnfNqtz.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,c,https://i.imgur.com/o42aglR.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
12,c,https://i.imgur.com/jXJNtv5.png,14.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,c
