,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
78,b,https://i.imgur.com/juDe7kU.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,a,https://i.imgur.com/oudnvzR.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
81,d,https://i.imgur.com/C1ZGFTt.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
82,c,https://i.imgur.com/ZkeETfA.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
84,a,https://i.imgur.com/x1116tU.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
85,b,https://i.imgur.com/VtxQDny.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
86,a,https://i.imgur.com/B0dKx1n.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
87,b,https://i.imgur.com/PProVAC.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
88,d,https://i.imgur.com/0WisNxZ.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
89,b,https://i.imgur.com/bu8xCEJ.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
90,d,https://i.imgur.com/BcRhSxv.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
91,d,https://i.imgur.com/YIPa2Cm.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
92,c,https://i.imgur.com/nPiJYFY.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
93,b,https://i.imgur.com/Gb5GDBd.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
94,b,https://i.imgur.com/YvTBuq9.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
95,a,https://i.imgur.com/wwl7TzL.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
96,c,https://i.imgur.com/Yu6P2Fb.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
97,d,https://i.imgur.com/Hn7s7vv.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
98,b,https://i.imgur.com/EppkBCy.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
99,d,https://i.imgur.com/Eir4kBw.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
100,c,https://i.imgur.com/T3pLEAi.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
102,b,https://i.imgur.com/vHclxeJ.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
103,b,https://i.imgur.com/68q4RZh.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
104,b,https://i.imgur.com/Lm3OG1O.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
105,a,https://i.imgur.com/SHhjWnr.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
106,a,https://i.imgur.com/EKjV9hw.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
107,a,https://i.imgur.com/3kFFwRQ.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
108,a,https://i.imgur.com/pcmaqIV.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
109,c,https://i.imgur.com/qf0RQsN.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
110,d,https://i.imgur.com/RFTEBUN.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
111,d,https://i.imgur.com/710EL0F.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
112,d,https://i.imgur.com/hLggFGs.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
113,d,https://i.imgur.com/rHUjRxy.png,16.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
