,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,d,https://i.imgur.com/hylBbml.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,c,https://i.imgur.com/daRKay2.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,d,https://i.imgur.com/KhZXKhk.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,c,https://i.imgur.com/s4y3Su0.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/jzemwiq.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,c,https://i.imgur.com/bchgD4H.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,d,https://i.imgur.com/VcwFL9x.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,b,https://i.imgur.com/LmnaiYv.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,d,https://i.imgur.com/PkLIiK8.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,c,https://i.imgur.com/me6SMoH.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://i.imgur.com/M3msWoD.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,c,https://i.imgur.com/RuIKcAT.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,a,https://i.imgur.com/S8Ywhwo.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,c,https://i.imgur.com/sqbh2LW.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,c,https://i.imgur.com/8vTtEBb.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,a,https://i.imgur.com/KCRwIC8.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/VSDRDDc.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/OgI7zRf.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,a,https://i.imgur.com/HjieZmG.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,a,https://i.imgur.com/hWnl8sL.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,d,https://i.imgur.com/Yo9FMRp.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,a,https://i.imgur.com/4SHOsGo.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/oA09T6n.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/QAAm6g0.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/UxQFsPp.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
