,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
1,b,https://i.imgur.com/IGv3z00.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,c,https://i.imgur.com/1CfxfYd.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
3,b,https://i.imgur.com/J1XSlfp.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,c,https://i.imgur.com/GJPQ46N.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
6,a,https://i.imgur.com/siWoUoV.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
7,b,https://i.imgur.com/KsmrGJm.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,b,https://i.imgur.com/WGNQuon.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,c,https://i.imgur.com/5NROeKK.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,a,https://i.imgur.com/n2lozZw.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
11,b,https://i.imgur.com/I75Zrj4.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
12,b,https://i.imgur.com/wjn4PUD.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
14,a,https://i.imgur.com/m1rL1vV.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,a,https://i.imgur.com/C3N7PUy.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
16,b,https://i.imgur.com/LKwesmU.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
17,a,https://i.imgur.com/gc4YWhL.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,d,https://i.imgur.com/Efs15nS.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,d,https://i.imgur.com/WFCq3BL.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
20,a,https://i.imgur.com/vpRBPJH.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,b,https://i.imgur.com/IlLyEym.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
22,a,https://i.imgur.com/Tv7VMI0.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,d,https://i.imgur.com/x3i6nVS.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
24,d,https://i.imgur.com/e2cQrj4.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
25,c,https://i.imgur.com/L0ti4bd.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
26,d,https://i.imgur.com/e9C9Lcr.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,d,https://i.imgur.com/yMrSW56.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,d,https://i.imgur.com/h4XEejr.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,c,https://i.imgur.com/vY8ecKO.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
30,c,https://i.imgur.com/ghWjHZx.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
32,b,https://i.imgur.com/8JDdoxA.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
