,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
1,b,https://i.imgur.com/8oB0uOD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
2,b,https://i.imgur.com/gEkbhPo.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
3,b,https://i.imgur.com/QkhsRXA.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
4,d,https://i.imgur.com/VyK48Uf.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
5,c,https://i.imgur.com/I1yYYk9.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
6,d,https://i.imgur.com/ITllBBX.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
7,c,https://i.imgur.com/ckd90EL.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
8,a,https://i.imgur.com/t4Dd0mG.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
9,b,https://i.imgur.com/3eahOVQ.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
10,b,https://i.imgur.com/xZDv6b8.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
11,d,https://i.imgur.com/Wo4XE7h.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
12,c,https://i.imgur.com/Y5XVPg0.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
13,a,https://i.imgur.com/J9HFkf4.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
15,a,https://i.imgur.com/OWbWTu7.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
16,b,https://i.imgur.com/FVD1kPi.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
17,c,https://i.imgur.com/Y4wikLw.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
18,b,https://i.imgur.com/AYkaPPh.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
19,b,https://i.imgur.com/voh55jd.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
20,c,https://i.imgur.com/QAJcRcg.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
21,a,https://i.imgur.com/6huEhTD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
22,a,https://i.imgur.com/V42t0Wy.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
23,c,https://i.imgur.com/VAevQqn.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
24,a,https://i.imgur.com/JjaSqtY.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
25,a,https://i.imgur.com/m8QaT96.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
26,b,https://i.imgur.com/2lUt2tf.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
27,b,https://i.imgur.com/fQ7ezbY.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
28,a,https://i.imgur.com/ZRDDWM4.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
29,b,https://i.imgur.com/Abd0fuK.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
30,c,https://i.imgur.com/R6ItMOS.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
