,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
1,b,https://i.imgur.com/oJI2qo3.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
2,d,https://i.imgur.com/d63hTlI.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
3,d,https://i.imgur.com/L4Rm19B.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
4,c,https://i.imgur.com/fo6wl6Q.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
5,d,https://i.imgur.com/6niRk4k.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
6,c,https://i.imgur.com/r3ne7st.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
7,d,https://i.imgur.com/2EAvIrb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
8,d,https://i.imgur.com/8Y4al75.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
9,c,https://i.imgur.com/gzySYB9.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
10,a,https://i.imgur.com/qQauYkG.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
11,c,https://i.imgur.com/RtonMxh.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
12,b,https://i.imgur.com/K9iDL03.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
13,d,https://i.imgur.com/2ArRGDq.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
15,d,https://i.imgur.com/bYc3Sv1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
16,b,https://i.imgur.com/gmbrr3I.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
17,d,https://i.imgur.com/K0zxyMw.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
18,b,https://i.imgur.com/R6Rm6FE.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
19,b,https://i.imgur.com/8DKRNEM.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
20,c,https://i.imgur.com/Szh78Rk.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
21,b,https://i.imgur.com/VsHoNog.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
22,c,https://i.imgur.com/o5T2LVV.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
23,b,https://i.imgur.com/K6HzPB7.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
24,d,https://i.imgur.com/dePKAMY.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
25,c,https://i.imgur.com/Xq0itjE.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
26,c,https://i.imgur.com/Z5ORe1x.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
27,a,https://i.imgur.com/oVyxACY.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
28,c,https://i.imgur.com/8bkcI7Y.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
29,c,https://i.imgur.com/sS9JXvo.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
30,a,https://i.imgur.com/2tm0c0D.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
31,b,https://i.imgur.com/77FFBL1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
32,d,https://i.imgur.com/SIuaDkl.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
33,c,https://i.imgur.com/WpuY4LB.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
34,c,https://i.imgur.com/2aVK3yV.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
35,a,https://i.imgur.com/owzaaGn.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
36,d,https://i.imgur.com/NkSfI3L.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
37,a,https://i.imgur.com/WWC9BJQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
38,b,https://i.imgur.com/I2RwXOv.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
39,d,https://i.imgur.com/VADLFN8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
40,b,https://i.imgur.com/1yCVyxf.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
41,c,https://i.imgur.com/McaZlUh.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
42,d,https://i.imgur.com/C8Unsx6.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
43,c,https://i.imgur.com/kTcPwMb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
44,d,https://i.imgur.com/t4q9IEe.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
45,c,https://i.imgur.com/vhYwU4l.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
46,b,https://i.imgur.com/saKsjLd.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
47,b,https://i.imgur.com/8xccYTm.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
