,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
1,c,https://i.imgur.com/ppYlcSa.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,a,https://i.imgur.com/hqmcGJM.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,c,https://i.imgur.com/tURx8zT.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
5,c,https://i.imgur.com/qzcKn8n.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
6,c,https://i.imgur.com/FuISdnO.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
7,c,https://i.imgur.com/fVFOrrW.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,b,https://i.imgur.com/eGDMijx.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,c,https://i.imgur.com/qtacfpF.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,d,https://i.imgur.com/QXsuWrD.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
11,d,https://i.imgur.com/Ue4d24G.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
12,c,https://i.imgur.com/UXHKHBc.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
13,a,https://i.imgur.com/kx62WBC.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
14,d,https://i.imgur.com/iUMjRF4.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,c,https://i.imgur.com/gxBltTT.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
17,a,https://i.imgur.com/a5Ocapt.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,d,https://i.imgur.com/PHXLCXH.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,b,https://i.imgur.com/fR9zBlZ.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,c,https://i.imgur.com/Lncdlib.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
22,a,https://i.imgur.com/SB5mrkP.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,b,https://i.imgur.com/3Iy16bv.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
24,a,https://i.imgur.com/Eb71ZIZ.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
26,d,https://i.imgur.com/Xp5N7PT.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,d,https://i.imgur.com/XLDWnHf.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,b,https://i.imgur.com/GOCcz9f.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,c,https://i.imgur.com/UZpn1i0.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
30,a,https://i.imgur.com/RpfpVY0.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
31,b,https://i.imgur.com/nMKYZ9C.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
32,d,https://i.imgur.com/tuev0D5.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
33,b,https://i.imgur.com/Put7qZa.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
34,d,https://i.imgur.com/kCPwMIW.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
35,a,https://i.imgur.com/L7zy1nA.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
36,b,https://i.imgur.com/JX9WwbA.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
37,a,https://i.imgur.com/rEkbsIB.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
38,b,https://i.imgur.com/I9etZGF.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
39,b,https://i.imgur.com/7lL5T3X.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
