,correct,QuestionLink,Direction,category,optA,optB,optC,optD,optE,sectionType,usedFor,lang,source
1,a,https://i.imgur.com/2WjoIuP.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
2,a,https://i.imgur.com/yXjHvUK.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
3,d,https://i.imgur.com/zvjSD49.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
4,e,https://i.imgur.com/YVHbAvR.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/9ORybkG.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://i.imgur.com/rqQWTFI.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
8,b,https://i.imgur.com/NIlDa0O.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
9,e,https://i.imgur.com/aeN0j2e.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
10,a,https://i.imgur.com/VoCQYuh.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
11,c,https://i.imgur.com/G7xozHX.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
12,b,https://i.imgur.com/3mz5v9x.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
13,b,https://i.imgur.com/joci2yn.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
14,a,https://i.imgur.com/n6fCswF.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/WtUVxJa.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
16,e,https://i.imgur.com/O8p0rlg.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
17,e,https://i.imgur.com/hMFZVgF.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
