,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
2,e,https://i.imgur.com/G6bvlJ6.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,b,https://i.imgur.com/hf1ZPn3.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,a,https://i.imgur.com/yu63awM.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://i.imgur.com/DsALJBK.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/w7IjNCC.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,c,https://i.imgur.com/P9k8qXb.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,e,https://i.imgur.com/JM9vx6q.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,b,https://i.imgur.com/eCxAv4G.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,e,https://i.imgur.com/Kiz1b1Y.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,e,https://i.imgur.com/1nnq3EK.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,c,https://i.imgur.com/iHctZyr.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,e,https://i.imgur.com/2R4pklb.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,e,https://i.imgur.com/AI6wYEb.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/wC2LEkx.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,d,https://i.imgur.com/ZD7Jfp3.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,c,https://i.imgur.com/2GqJhO1.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,d,https://i.imgur.com/wG75yli.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,a,https://i.imgur.com/9MjRW1M.png,https://i.imgur.com/dmRFESx.png,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,d,https://i.imgur.com/S4X3ZWc.png,,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,b,https://i.imgur.com/pTPY43p.png,,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,a,https://i.imgur.com/dVlHxna.png,,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,a,https://i.imgur.com/dZeu2bH.png,,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,d,https://i.imgur.com/vqEhd5A.png,,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,b,https://i.imgur.com/dNKBixa.png,,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,d,https://i.imgur.com/OcmerRQ.png,,18.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
