,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,b,https://i.imgur.com/onl249U.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,b,https://i.imgur.com/03XfqsB.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,e,https://i.imgur.com/gKgfI5c.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,a,https://i.imgur.com/B3t6LNw.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,b,https://i.imgur.com/4ewSENY.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/euyXEkm.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/L4XqOU2.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,a,https://i.imgur.com/Utq72sy.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,a,https://i.imgur.com/2wn2VK3.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,e,https://i.imgur.com/DdM2AUr.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,a,https://i.imgur.com/qF6Q2rS.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://i.imgur.com/7KJZBMn.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/oSDPkd3.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,d,https://i.imgur.com/trfd67A.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,d,https://i.imgur.com/ES7nA86.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,c,https://i.imgur.com/3Skxl4H.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,d,https://i.imgur.com/LI6QGHQ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,c,https://i.imgur.com/WkqASN6.png,https://i.imgur.com/agsihBl.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,b,https://i.imgur.com/fsDRpkd.png,https://i.imgur.com/agsihBl.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,b,https://i.imgur.com/Bv3OtC2.png,https://i.imgur.com/agsihBl.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,d,https://i.imgur.com/G9fUfo1.png,https://i.imgur.com/agsihBl.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,a,https://i.imgur.com/1EKxOUR.png,https://i.imgur.com/ijcNgsK.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,b,https://i.imgur.com/y4HwOWM.png,https://i.imgur.com/ijcNgsK.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,d,https://i.imgur.com/xhFpcnc.png,https://i.imgur.com/ijcNgsK.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,b,https://i.imgur.com/38QAaww.png,https://i.imgur.com/ijcNgsK.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
