correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
c,https://i.imgur.com/M81baje.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/2zbqTzz.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/QxixnFK.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/dGEydvN.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/sxMveC9.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/MxeRDqk.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/Ed0jF1y.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/sKrCvWm.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/v95Q7ge.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/JlHwiOr.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/T8upVY1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/J020ivb.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/PCIo7jx.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/6B1Meua.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/hqRIIip.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/EDZ6jdq.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/QW2rUb2.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/Xhrb6ln.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/9aGZjJE.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/hxtsNzR.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/EJntf1n.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/6kqG0WO.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/SWEsyuU.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/a5oKXYw.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/xIwTxPO.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/i1FMKRY.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/VUmGDLs.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/9BE7YYM.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/podvxMZ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/VYy13qB.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/PqS042x.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/XAt4SRZ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/DBbNPQU.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/XLRfhnh.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/DVSxRvy.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/D55O4cQ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/vpTqfLP.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/r7mCsGa.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/Nhpn1Hf.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/JKgUq3Y.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/YXt3Rr6.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/o526kbv.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/garRLwe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/tvNB1pP.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/swdCvps.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/jS1V9p0.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/LzAFsUT.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/TEBviHp.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/Zsw16A2.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/e6IGGy7.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/Mg1lskj.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/DiJ1HIf.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/V1VA7Rs.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
