,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,b,https://i.imgur.com/NEAzbDU.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,b,https://i.imgur.com/9NCy8CN.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,a,https://i.imgur.com/qghj9Pi.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,e,https://i.imgur.com/6xSKQjh.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,b,https://i.imgur.com/s0cwAd2.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,a,https://i.imgur.com/yKDUfxf.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/ev9lDmq.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,c,https://i.imgur.com/lwZ2aJS.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,b,https://i.imgur.com/3aKfOBW.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://i.imgur.com/H1yxuvF.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,c,https://i.imgur.com/4jYIEFh.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,b,https://i.imgur.com/iRfbi5T.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,b,https://i.imgur.com/MGi1vsu.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/BOWX821.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,a,https://i.imgur.com/a7bYirB.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,c,https://i.imgur.com/brRXWTd.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,c,https://i.imgur.com/5EOz6sx.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,e,https://i.imgur.com/gQKADQe.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,c,https://i.imgur.com/pAXwAfu.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,a,https://i.imgur.com/6R7M5nF.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,c,https://i.imgur.com/or8sbk4.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,a,https://i.imgur.com/5g3wrmT.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,e,https://i.imgur.com/WkuJOb1.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,d,https://i.imgur.com/cIPdfiy.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,e,https://i.imgur.com/CXjBFag.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,a,https://i.imgur.com/Cs8PvbW.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,b,https://i.imgur.com/xsHP2wV.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,e,https://i.imgur.com/TBPvAd9.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,c,https://i.imgur.com/hAqWLIw.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,a,https://i.imgur.com/5HG8XJs.png,https://i.imgur.com/rMjxbNe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,f,https://i.imgur.com/2xYeqwk.png,https://i.imgur.com/rMjxbNe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,c,https://i.imgur.com/K7qlNaO.png,https://i.imgur.com/rMjxbNe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,d,https://i.imgur.com/fBbI64f.png,https://i.imgur.com/rMjxbNe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,c,https://i.imgur.com/Ab5H7s0.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,b,https://i.imgur.com/t7uvdEa.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,e,https://i.imgur.com/9RDcDxP.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,b,https://i.imgur.com/lJE2GHu.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,d,https://i.imgur.com/GklVuaO.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,e,https://i.imgur.com/4otTacK.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,c,https://i.imgur.com/iRRBe3H.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,c,https://i.imgur.com/UONyMq8.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,e,https://i.imgur.com/zSJ5ulA.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,d,https://i.imgur.com/tI83c97.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,a,https://i.imgur.com/jes6HiH.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,d,https://i.imgur.com/Ayh88iM.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,b,https://i.imgur.com/cYHOCOz.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,c,https://i.imgur.com/jFy0IrE.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,e,https://i.imgur.com/K1hxXRC.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,c,https://i.imgur.com/7UDoGfq.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,b,https://i.imgur.com/1IFRHLJ.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,d,https://i.imgur.com/p2Jh9bc.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,c,https://i.imgur.com/zn1TmjD.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,b,https://i.imgur.com/4Ujtb3Q.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,a,https://i.imgur.com/9CXIT4T.png,https://i.imgur.com/O0PyGA0.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,e,https://i.imgur.com/0BX2SIP.png,https://i.imgur.com/O0PyGA0.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
