,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,c,https://i.imgur.com/Cn2wwDH.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,b,https://i.imgur.com/31M2Lv0.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,b,https://i.imgur.com/i4JImgY.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,c,https://i.imgur.com/GAdxH5w.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,c,https://i.imgur.com/OCDlgCm.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/oSzKIwF.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,a,https://i.imgur.com/Y8Dp39M.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,a,https://i.imgur.com/1KvwvWK.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,b,https://i.imgur.com/guBHO7x.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://i.imgur.com/gNKuZAg.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,a,https://i.imgur.com/P2JJwEN.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,b,https://i.imgur.com/RtORhi4.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://i.imgur.com/n0wj505.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/MshUWgV.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/YeTjn2E.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,c,https://i.imgur.com/TtMCZFv.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/L2E6eCp.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,c,https://i.imgur.com/Ug6Plu3.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,b,https://i.imgur.com/4BWZEDW.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,d,https://i.imgur.com/LOmvIsd.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,d,https://i.imgur.com/ZcRgUkR.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,a,https://i.imgur.com/chX6AZC.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,b,https://i.imgur.com/IuOGQGn.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,c,https://i.imgur.com/4DpbVOw.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,a,https://i.imgur.com/BhPyJHu.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,d,https://i.imgur.com/Q4WWxa2.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,b,https://i.imgur.com/99yAwb8.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,a,https://i.imgur.com/9UyFc08.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,d,https://i.imgur.com/yJ16jyf.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,a,https://i.imgur.com/qpC0LmY.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,c,https://i.imgur.com/JIDxiJ7.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,c,https://i.imgur.com/vTOpnbW.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,b,https://i.imgur.com/y52hcSy.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,c,https://i.imgur.com/fgMir7P.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,a,https://i.imgur.com/HP7M3aD.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,c,https://i.imgur.com/bvHuVaz.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,d,https://i.imgur.com/6QAPH10.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,c,https://i.imgur.com/59ZRjTf.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,d,https://i.imgur.com/B95tovp.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,d,https://i.imgur.com/vEahpOs.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,c,https://i.imgur.com/3GnWlaV.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,b,https://i.imgur.com/DUlNPFf.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,d,https://i.imgur.com/FD0BRpz.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,c,https://i.imgur.com/7tfUZ0p.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,d,https://i.imgur.com/rCTDHru.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,d,https://i.imgur.com/vZKdPHN.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,d,https://i.imgur.com/TOwUDne.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,a,https://i.imgur.com/Yqp0RaU.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,c,https://i.imgur.com/mQCBpzn.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,c,https://i.imgur.com/Dg9wwEF.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,a,https://i.imgur.com/N1RjlLK.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,c,https://i.imgur.com/ULWmbFD.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,c,https://i.imgur.com/SEHQxtT.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,c,https://i.imgur.com/Q2eqpJp.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,c,https://i.imgur.com/VBL9A77.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,d,https://i.imgur.com/ec9u6I9.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,d,https://i.imgur.com/gGH5hsp.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,b,https://i.imgur.com/dnmC7gS.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,b,https://i.imgur.com/UzmuzAN.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,d,https://i.imgur.com/VlNugbf.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,b,https://i.imgur.com/fQ76KDb.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,b,https://i.imgur.com/NNmVtzT.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
63,c,https://i.imgur.com/Bxct7jD.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,b,https://i.imgur.com/WEyThU6.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,c,https://i.imgur.com/Xxe1e7o.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,a,https://i.imgur.com/tv6DKQl.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
67,c,https://i.imgur.com/9XjGPlb.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
68,d,https://i.imgur.com/uTA5DFN.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
69,d,https://i.imgur.com/E5Bh6Mi.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,d,https://i.imgur.com/4y29yQO.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,b,https://i.imgur.com/tofZyAS.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
72,d,https://i.imgur.com/jMWNnkA.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
73,a,https://i.imgur.com/Kf97rXA.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
74,b,https://i.imgur.com/rnl2Wa0.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
75,c,https://i.imgur.com/7DT6j3F.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
76,c,https://i.imgur.com/r2Uxz0M.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
77,a,https://i.imgur.com/8Ih1Par.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
78,d,https://i.imgur.com/OJEQOTk.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,d,https://i.imgur.com/3vVnyzf.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
80,c,https://i.imgur.com/M5oW5Vy.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
81,a,https://i.imgur.com/00SFIxp.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
82,c,https://i.imgur.com/C5hOgHa.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
83,b,https://i.imgur.com/6tsj8Nh.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
84,d,https://i.imgur.com/S7orQDB.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
85,d,https://i.imgur.com/lNXLdd0.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
86,d,https://i.imgur.com/t6VRi0N.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
87,b,https://i.imgur.com/aeFlaFC.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
