,Correct,Questions,category,optionA,optionB,optionC,optionD
0, : C,"  If A stands for '–' B stands '+' and C stands for '×', then what is the value of (5c4)A (2B3) B6? यदि A का अर्थ '–' B का अर्थ '+' एवं C का अर्थ '×' है, तो (5c4)A (2B3) B6 का मान क्या है? ", 16.1, 31  , 19 , 21  , 9 
1, : C ,"  If RED is coded as 6720, then how GREEN would be coded?  यदि  RED  का कूट 6720 है, तो GREEN  का कूट क्या होगा  ", 16.1, 9207716     , 1677199  , 1677209      , 16717209   
2, : A,"  In certain code language if LIBERATE is written as 56423172, then how TRIBAL will be written in the same code? यदि किसी सांकेतिक भाषा में LIBERATE को 56423172 लिखा जाता है, तो उसी सांकेतिक भाषा में TRIBAL को किस प्रकार लिखा जाएगा? ", 16.1, 736415  , 673451 , 476315  , 743615   
3, : B,"  If HOSPITAL is written as 32574618 in a certain code, how would POSTAL be written in that code? यदि किसी कूट में HOSPITAL को 32574618 लिखा जाता है| उसी कूट में POSTAL को केसे लिखा जाएगा? ", 16.1, 752618  , 725618 , 725168  , 725681   
4, : D,"  If MUSTARD is written as 132119201184 ina certain code, then how is PROFUSE written in that code ? यदि MUSTARD को किसी कूट में132119201184 लिखा जाता है, तो उसी कूट में PROFUSE कैसे लिखा जाएगा? ", 16.1, 16815621195  , 16181562195 , 16181521195  , 161815621195 
5, : D,"  If PUNCTALE is written as 47819653, then how TUNELP will be written in same code language? यदि PUNCTALE को 47819653 लिखा जाता है, तो उसी कूट भाषा में TUNELP को कैसे लिखा जाएगा? ", 16.1, 957864  , 958674  , 973845  , 978354 
6, : D,"  In a code language, if PET is coded as OPQDEFSTU, then the word SIT will be coded as-  यदि किसी कूट भाषा में, PET को OPQDEFSTU से कूटित करते है, तो SIT शब्द को कैसे कूटित किया जाएगा? ", 16.1, RTSJOSTPR  , RPTHOJSTR  , UTSJIHTSR  , RSTHIJSTU 
7, : D,"  In a certain code language, ‘‘UQESITON’’ is written as ‘‘FJVHRGLM’’ and ‘‘ANSWEI’’ is written as ‘‘ZMHDVR’’. How is ‘‘PROBLEM’’ written in that code language? एक विशिष्ट कोड भाषा में, ‘‘UQESITON’’ को ‘‘FJVHRGLM’’ तथा ‘‘ANSWEI’’ को ‘‘ZMHDVR’’ लिखा जाता है। इस कोड भाषा में ‘‘PROBLEM’’ को किस प्रकार लिखा जाएगा?  ", 16.1, KHKYOVN  , KILOYVN , KHKXOUM  , KILYOVN 
8, : A,"  In a certain code language, ‘‘STRAIGHT’’ is written as ‘‘VQUXLDKQ’’ and ‘‘BLAMED’’ is written as ‘‘EIDJHA’’. How is ‘‘ROSTER’’ written in that code language? एक विशिष्ट कोड भाषा में, ‘‘STRAIGHT’’ को ‘‘VQUXLDKQ’’ तथा  ‘‘BLAMED’’ को ‘‘EIDJHA’’ लिखा जाता है। इस कोड भाषा में ‘‘ROSTER’’ को किस प्रकार लिखा जाएगा?  ", 16.1, ULVQHO  , VLUQHN , UMVPHN , UMVPHO 
9, : D,"  Y is in the east of X which is in the north of Z. If P is in the south of Z, then in which direction of Y is P? Y, X के पूर्व में है जो Z के उत्तर में है| यदि P, Z के दक्षिण में है, तो P, Y से किस दिशा में होगा? ", 9.1, North/उत्तर , East/पूर्व , South-East/दक्षिण-पूर्व , South-West/दक्षिण-पश्चिम 
