,0,1,2,3
0,[602  30],7,20,3
1,[603  17],7,6,4
2,[607   1],0,1,0
3,[608   1],1,0,0
4,[609   1],0,1,0
5,[623   6],3,2,1
6,[625   6],0,4,2
7,[626  16],7,5,4
8,[627  29],13,10,6
9,[628  11],0,7,4
10,[643   6],2,4,0
11,[652  28],7,15,6
12,[653  17],3,12,2
13,[667   1],1,0,0
14,[668   1],0,1,0
15,[669   1],0,1,0
16,[670   1],0,1,0
17,[676   6],3,1,2
18,[677  31],10,17,4
19,[696   1],0,1,0
20,[697   2],0,0,2
21,[701   5],2,3,0
22,[702  28],13,9,6
23,[716   6],0,4,2
24,[717   6],3,1,2
25,[721   2],0,0,2
26,[722   2],0,0,2
27,[751  11],3,5,3
28,[752  28],11,15,2
29,[768   6],3,1,2
30,[769   6],1,4,1
31,[801  16],5,7,4
32,[802  28],12,13,3
33,[812  32],21,11,0
34,[826  11],4,4,3
35,[827  30],10,14,6
36,[836   5],3,2,0
37,[844   6],2,3,1
38,[845   6],4,0,2
39,[851  11],2,5,4
40,[852  28],11,12,5
41,[867   6],1,3,2
42,[876  11],2,6,3
43,[878   5],0,5,0
44,[879   3],0,0,3
45,[901   8],1,2,5
46,[902   8],2,1,5
47,[903   8],1,3,4
48,[904   8],2,2,4
49,[905   8],2,2,4
50,[906   8],2,2,4
51,[931   2],0,1,1
52,[952   2],1,1,0
53,[956  34],10,14,10
54,[970   2],0,2,0
55,[972   1],0,1,0
56,[974   1],0,1,0
57,[999  34],9,11,14
58,[1002   10],3,1,6
59,[1042    2],1,0,1
60,[1043   10],3,1,6
61,[1050   34],5,14,15
62,[1053   34],21,1,12
63,[1073   34],13,9,12
64,[1082   34],16,8,10
65,[1109   34],17,7,10
66,[1115   34],12,11,11
67,[1122   34],15,12,7
68,[1230   34],15,12,7
69,[1248    1],0,0,1
70,[1249    1],0,0,1
71,[1250    3],0,0,3
72,[1251    1],0,0,1
73,[1253    2],0,0,2
74,[1254    2],0,0,2
75,[1255    2],0,1,1
76,[1256    2],0,0,2
77,[1258    2],0,0,2
78,[1260    2],0,0,2
79,[1261    2],0,0,2
80,[1265    2],0,0,2
81,[1267    2],0,0,2
82,[1268    2],0,0,2
83,[1271    2],0,0,2
84,[1272    2],1,0,1
85,[1275    2],0,0,2
86,[1279    2],0,0,2
87,[1282    2],0,0,2
88,[1283    2],0,0,2
89,[1284    2],0,1,1
90,[1285    2],0,0,2
91,[1286    2],0,0,2
92,[1287    2],0,0,2
93,[1296    2],0,0,2
94,[1315    2],0,0,2
95,[1359    2],0,0,2
96,[1360    2],0,0,2
97,[1361    2],0,0,2
98,[1390    2],0,0,2
99,[1410    2],0,0,2
100,[1421    2],0,0,2
101,[1424    2],0,0,2
