,0,1,2,3,4
0,[602  30],7,20,3,2.1
1,[603  17],7,6,4,2.1
2,[607   1],0,1,0,2.1
3,[608   1],1,0,0,2.1
4,[609   1],0,1,0,2.1
5,[623   6],3,2,1,2.1
6,[625   6],0,4,2,2.1
7,[626  16],7,5,4,2.1
8,[627  29],13,10,6,2.1
9,[628  11],0,7,4,2.1
10,[643   6],2,4,0,2.1
11,[652  28],7,15,6,2.1
12,[653  17],3,12,2,2.1
13,[667   1],1,0,0,2.1
14,[668   1],0,1,0,2.1
15,[669   1],0,1,0,2.1
16,[670   1],0,1,0,2.1
17,[676   6],3,1,2,2.1
18,[677  31],10,17,4,2.1
19,[696   1],0,1,0,2.1
20,[697   2],0,0,2,2.1
21,[701   5],2,3,0,2.1
22,[702  28],13,9,6,2.1
23,[716   6],0,4,2,2.1
24,[717   6],3,1,2,2.1
25,[721   2],0,0,2,2.1
26,[722   2],0,0,2,2.1
27,[751  11],3,5,3,2.1
28,[752  28],11,15,2,2.1
29,[768   6],3,1,2,2.1
30,[769   6],1,4,1,1.1
31,[801  16],5,7,4,1.1
32,[802  28],12,13,3,1.1
33,[812  32],21,11,0,1.1
34,[826  11],4,4,3,1.1
35,[827  30],10,14,6,1.1
36,[836   5],3,2,0,1.1
37,[844   6],2,3,1,1.1
38,[845   6],4,0,2,1.1
39,[851  11],2,5,4,1.1
40,[852  28],11,12,5,1.1
41,[867   6],1,3,2,1.1
42,[876  11],2,6,3,1.1
43,[878   5],0,5,0,1.1
44,[879   3],0,0,3,1.1
45,[901   8],1,2,5,1.1
46,[902   8],2,1,5,1.1
47,[903   8],1,3,4,1.2
48,[904   8],2,2,4,1.2
49,[905   8],2,2,4,1.2
50,[906   8],2,2,4,3.1
51,[931   2],0,1,1,3.1
52,[952   2],1,1,0,3.1
53,[956  34],10,14,10,3.1
54,[970   2],0,2,0,3.1
55,[972   1],0,1,0,3.1
56,[974   1],0,1,0,3.1
57,[999  34],9,11,14,3.1
58,[1002   10],3,1,6,3.1
59,[1042    2],1,0,1,3.1
60,[1043   10],3,1,6,3.1
61,[1050   34],5,14,15,3.1
62,[1053   34],21,1,12,1.1
63,[1073   34],13,9,12,1.1
64,[1082   34],16,8,10,1.1
65,[1109   34],17,7,10,1.1
66,[1115   34],12,11,11,1.1
67,[1122   34],15,12,7,1.1
68,[1230   34],15,12,7,1.1
69,[1248    1],0,0,1,1.1
70,[1249    1],0,0,1,1.1
71,[1250    3],0,0,3,1.1
72,[1251    1],0,0,1,1.1
73,[1253    2],0,0,2,1.1
74,[1254    2],0,0,2,1.1
75,[1255    2],0,1,1,1.1
76,[1256    2],0,0,2,1.1
77,[1258    2],0,0,2,1.1
78,[1260    2],0,0,2,2.1
79,[1261    2],0,0,2,2.1
80,[1265    2],0,0,2,2.1
81,[1267    2],0,0,2,2.1
82,[1268    2],0,0,2,2.1
83,[1271    2],0,0,2,2.1
84,[1272    2],1,0,1,2.1
85,[1275    2],0,0,2,2.1
86,[1279    2],0,0,2,2.1
87,[1282    2],0,0,2,2.1
88,[1283    2],0,0,2,2.1
89,[1284    2],0,1,1,2.1
90,[1285    2],0,0,2,2.1
91,[1286    2],0,0,2,2.1
92,[1287    2],0,0,2,2.1
93,[1296    2],0,0,2,2.1
94,[1315    2],0,0,2,2.1
95,[1359    2],0,0,2,2.1
96,[1360    2],0,0,2,2.1
97,[1361    2],0,0,2,2.1
98,[1390    2],0,0,2,2.1
99,[1410    2],0,0,2,2.1
100,[1421    2],0,0,2,2.1
101,[1424    2],0,0,2,2.1
102,[1495    2],0,0,2,2.1
103,[1513    2],0,0,2,2.1
104,[1543    7],0,0,7,2.1
105,[1544    4],0,0,4,2.1
106,[1545    4],0,0,4,2.1
107,[2014   11],3,5,3,5.1
108,[2073   11],3,6,2,5.1
109,[2076   11],4,5,2,5.1
110,[2166   11],3,6,2,5.1
111,[2265   11],2,6,3,5.1
112,[2731   11],4,5,2,5.1
113,[2754   11],3,5,3,5.1
114,[2852   11],4,5,2,5.1
115,[2941    1],1,0,0,5.1
116,[2992    5],0,5,0,5.1
117,[2993    5],3,2,0,5.1
118,[2998    5],1,4,0,3.1
119,[3001   16],3,9,4,3.1
120,[3005   11],3,3,5,3.1
121,[3007   11],1,6,4,3.1
122,[3010   11],1,6,4,3.1
123,[3024   11],1,7,3,3.1
124,[3026    5],1,3,1,2.1
125,[3027    5],1,3,1,2.1
126,[3031   11],3,6,2,2.1
127,[3034   11],1,5,5,2.1
128,[3037   11],2,6,3,2.1
129,[3042    3],0,3,0,2.1
130,[3082    1],0,0,1,2.1
131,[3085    1],0,1,0,2.1
132,[3102    1],0,0,1,2.1
133,[3159    1],0,1,0,2.1
134,[3175    1],0,0,1,2.1
135,[3176    1],0,0,1,2.1
136,[3213    1],0,0,1,2.1
137,[3232    1],0,0,1,2.1
138,[3236    1],0,0,1,2.1
139,[3253    1],0,0,1,2.1
140,[3265    1],0,0,1,2.1
141,[3268    1],0,0,1,2.1
142,[3295    1],0,1,0,2.1
143,[3313    1],0,0,1,2.1
144,[3334    1],0,0,1,2.1
145,[3409    3],0,1,2,2.1
146,[3410    1],0,1,0,2.1
147,[3411    1],0,1,0,2.1
148,[3412    1],1,0,0,2.1
149,[3413    1],0,1,0,2.1
150,[3436    1],0,1,0,2.1
151,[3724   15],5,6,4,2.1
152,[3725   12],4,6,2,1.1
153,[3774    1],0,1,0,1.1
154,[3775    1],0,1,0,1.1
155,[3776    1],0,0,1,1.1
156,[3777    1],0,0,1,1.1
157,[3778    1],0,0,1,1.1
158,[3779    1],0,1,0,1.1
159,[3901    1],0,0,1,1.1
160,[4975    5],2,3,0,1.1
161,[4994    4],1,0,3,1.1
162,[5006    1],0,0,1,1.1
163,[5011    1],0,0,1,1.1
164,[5085    6],1,2,3,1.1
165,[5086    6],2,2,2,1.1
166,[5087    6],1,2,3,1.1
167,[5120    6],1,2,3,1.1
168,[5210    3],1,1,1,1.1
169,[5334    3],0,0,3,9.1
170,[5821    1],0,1,0,9.1
171,[5822    1],1,0,0,9.1
172,[7874    5],0,0,5,9.1
173,[7875    5],0,2,3,1.1
174,[7876    2],0,0,2,1.1
175,[8910    7],4,3,0,1.1
176,[8934    2],0,0,2,1.1
177,[8935    5],1,1,3,1.1
178,[8936    2],0,0,2,1.1
179,[8937    2],0,0,2,2.1
180,[8938    1],0,0,1,2.1
181,[8939    1],0,0,1,2.1
182,[8940    1],0,0,1,2.1
183,[8941    1],0,0,1,2.1
184,[8942    1],0,0,1,2.1
185,[8943    3],0,0,3,2.1
186,[8944    3],0,0,3,2.1
187,[8945    5],2,0,3,2.1
188,[8946    1],0,0,1,2.1
189,[8947    1],0,0,1,2.1
190,[8948    1],0,0,1,2.1
191,[8949    1],0,0,1,2.1
192,[8950    1],0,0,1,2.1
193,[8951    1],0,0,1,2.1
194,[8952    1],0,0,1,2.1
195,[8953    1],0,0,1,2.1
196,[8954    1],0,0,1,2.1
197,[8955    1],0,0,1,2.1
198,[8956    4],0,2,2,2.1
199,[8957    1],0,0,1,2.1
200,[8958    1],0,0,1,2.1
201,[8959    1],0,0,1,2.1
202,[8960    1],0,0,1,2.1
203,[8961    1],0,0,1,2.1
204,[8962    1],0,0,1,2.1
205,[8963    1],0,0,1,2.1
206,[8964    1],0,0,1,2.1
207,[8965    1],0,0,1,2.1
208,[8966    1],0,0,1,2.1
209,[8967    1],0,0,1,2.1
210,[8996    8],2,2,4,9.1
211,[8997    8],0,5,3,9.1
212,[8998    8],3,2,3,9.1
213,[8999    8],3,3,2,1.1
214,[9000    8],1,4,3,1.1
215,[9001    8],3,3,2,1.1
216,[9002    8],2,3,3,1.1
217,[9003    3],0,1,2,1.1
218,[9005    1],0,0,1,2.1
219,[9006    2],0,1,1,2.1
220,[9014    1],0,0,1,2.1
221,[9032    2],0,0,2,2.1
222,[9067    1],1,0,0,2.1
223,[9071    1],0,0,1,2.1
224,[9072    1],0,0,1,2.1
225,[9074    1],0,1,0,2.1
226,[9084    2],2,0,0,2.1
227,[9086    3],1,1,1,2.1
228,[9087    1],0,0,1,2.1
229,[9088    1],0,0,1,2.1
230,[9089    1],0,0,1,2.1
231,[9090    1],0,0,1,2.1
232,[9091    1],0,0,1,2.1
233,[9092    1],0,0,1,2.1
234,[9093    1],0,0,1,2.1
235,[9105   22],5,14,3,2.1
236,[9106   20],4,14,2,2.1
